Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,14-Sep-15,2552,2565,2565,2543,2548,2551.65,2552.98,794659,2028750152,57713,577291,72.65
TCS,EQ,15-Sep-15,2551.65,2551.65,2558.9,2536,2537.25,2547.6,2548.86,689950,1758583962,64604,485074,70.31
TCS,EQ,16-Sep-15,2547.6,2555,2565,2541.05,2548,2550.35,2553.8,878408,2243276052,69451,634884,72.28
TCS,EQ,18-Sep-15,2550.35,2565,2586,2539,2545,2551.25,2565.18,1227647,3149141306,70579,870927,70.94
TCS,EQ,21-Sep-15,2551.25,2550,2557.1,2533.2,2555.65,2551.05,2545.78,554420,1411429757,59635,370607,66.85
TCS,EQ,22-Sep-15,2551.05,2557.5,2572.4,2490,2522.55,2526.8,2545.14,1040623,2648536284,72612,671655,64.54
TCS,EQ,23-Sep-15,2526.8,2534.3,2557.75,2512.6,2534.6,2532.65,2533.36,614176,1555931597,37626,345011,56.17
TCS,EQ,24-Sep-15,2532.65,2535.5,2590,2529.9,2579,2580.4,2561.8,1177127,3015562645,71506,824902,70.08
TCS,EQ,28-Sep-15,2580.4,2594,2619,2579.5,2600,2593.7,2603.35,1183406,3080820834,77392,894029,75.55
TCS,EQ,29-Sep-15,2593.7,2583.35,2634,2569.85,2592,2588.25,2603.73,1662976,4329946171,103754,1244496,74.84
TCS,EQ,30-Sep-15,2588.25,2643.7,2643.7,2570.95,2585,2588.05,2585.98,1684168,4355227068,81073,1273762,75.63
TCS,EQ,1-Oct-15,2588.05,2599,2649.95,2592.2,2641.1,2644.6,2630.47,1417204,3727914115,94874,1002629,70.75
TCS,EQ,5-Oct-15,2644.6,2652.7,2770,2652.7,2719.9,2711.65,2711.39,2403653,6517248343,146358,1616394,67.25
TCS,EQ,6-Oct-15,2711.65,2725,2726,2684,2686.2,2700,2704.9,1989795,5382189365,96553,1635016,82.17
TCS,EQ,7-Oct-15,2700,2693.95,2717,2646.95,2655,2653.95,2677.99,1032765,2765730773,102318,683381,66.17
TCS,EQ,8-Oct-15,2653.95,2670,2678.35,2620,2631.9,2633.8,2642.62,1178775,3115049441,102041,865714,73.44
TCS,EQ,9-Oct-15,2633.8,2650.5,2650.6,2608,2630,2629.65,2628.83,1124862,2957073345,68120,837088,74.42
TCS,EQ,12-Oct-15,2629.65,2655,2660.35,2587,2597.7,2592.6,2612.17,1227956,3207625454,84883,675044,54.97
TCS,EQ,13-Oct-15,2592.6,2602.8,2612,2567.6,2586.85,2598.55,2589.61,3089856,8001535878,129714,1303446,42.18
TCS,EQ,14-Oct-15,2598.55,2548,2548,2480,2480.9,2483.7,2502.59,4168564,10432220480,175646,2297432,55.11
TCS,EQ,15-Oct-15,2483.7,2490,2503.5,2465,2468.8,2467.75,2478.15,1607855,3984511867,107563,1101822,68.53
TCS,EQ,16-Oct-15,2467.75,2480.9,2492,2470,2472,2473.75,2477.86,1166914,2891451710,68190,791055,67.79
TCS,EQ,19-Oct-15,2473.75,2490,2494.95,2455.85,2493.95,2488.75,2473.9,1565321,3872449831,55224,1047364,66.91
